Cores,Frequency,L2cache,FSB,Mult.,Voltage,TDP,Socket,Partnumber(s),GPUfrequency,I/O bus,Memory,Burst,GPUmodel,Connectivity,SDP,Model Number,Front Side Bus,Multiplier,Mult,L2 Cache,Turbo,L3cache,Turbo Boostall-core/2.0(/max. 3.0),Atom (ULV),Atom (ULV).1,Unnamed: 2,Feature size,Unnamed: 4,x86,x86.1,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Base / Boost / TVB Clocks (GHz),GPU EU,GPU Max freq,Price,Model number,Clock speed,Cache,Cache.1,FSB speed,Threadsper core,TDP (W),Cache.2,Price (USD),Clock speed.1,QuickPath,Freq. (GHz),FSB (MHz),Voltage (V),Freq.,Power,Power.1,Unnamed: 17,Unnamed: 18,Unnamed: 19,Freq. (MHz),L1cache,Model numberClock speed,sSpec number,Front-side bus,Clock multiplier,Voltage range,Part number(s),Core stepping,64-bit,FrqGHz,FSBMT/s,VT-x,P-core (performance),P-core (performance).1,P-core (performance).2,P-core (performance).3,E-core (efficiency),E-core (efficiency).1,E-core (efficiency).2,E-core (efficiency).3
4.0,2.13,12.0,1066 MT/s,8×,0.85–1.35 V,40.0,83.0,EU80574JH046N AT80574JH046NT,,94.0,,,32.0,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,2.33,12.0,1333 MT/s,7×,0.85–1.35 V,50.0,83.0,EU80574JJ053N AT80574JJ053N,,94.0,,,32.0,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,2.5,12.0,1333 MT/s,7.5×,0.85–1.35 V,50.0,83.0,EU80574JJ060N AT80574JJ060N,,94.0,,,32.0,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,2.67,12.0,1333 MT/s,8×,0.85–1.35 V,50.0,83.0,AT80574JJ067N,,94.0,,,32.0,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,2.4,8.0,1066 MT/s,9×,1.2–1.325 V,80.0,143.0,LF80564QH0568M,,94.0,,,32.0,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,2.93,8.0,1066 MT/s,11×,1.2–1.325 V,80.0,143.0,LF80564QH0778M,,94.0,,,32.0,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,1.6,4.0,1066 MT/s,6×,1.2–1.35 V,80.0,143.0,LF80565QH0254M,,94.0,,,32.0,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,2.13,4.0,1066 MT/s,8×,1.2–1.35 V,80.0,143.0,LF80565QH0464M,,94.0,,,32.0,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,2.4,6.0,1066 MT/s,9×,1.2–1.35 V,80.0,143.0,LF80565QH0566M,,94.0,,,32.0,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,2.4,8.0,1066 MT/s,9×,1.2–1.35 V,80.0,143.0,LF80565QH0568M,,94.0,,,32.0,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,2.93,8.0,1066 MT/s,11×,1.2–1.35 V,130.0,143.0,LF80565KH0778M,,94.0,,,32.0,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,1.87,8.0,1066 MT/s,7×,1.10–1.25 V,50.0,143.0,LF80565JH0368M,,94.0,,,32.0,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,2.2608191223688907,9.609493111182314,,Quad Core,Quad Core,66.03544956493715,100.0,Quad Core,,67.0,Quad Core,,32.0,,,,,,,,Quad Core,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,2.4,1.024,,18×,0.65–1.40 V,95.0,70.0,BX80605X3430 BV80605001914AG,,39.0,2 × DDR3-1333,,32.0,,,,,,,,1/1/2/3,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,2.53,1.024,,19×,0.65–1.40 V,95.0,70.0,BX80605X3440 BV80605002517AQ,,39.0,2 × DDR3-1333,,32.0,,,,,,,,1/1/2/3,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,2.67,1.024,,20×,0.65–1.40 V,95.0,70.0,BX80605X3450 BV80605001911AQ,,39.0,2 × DDR3-1333,,32.0,,,,,,,,1/1/4/4,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,2.8,1.024,,21×,0.65–1.40 V,95.0,70.0,BX80605X3460 BV80605001908AL,,39.0,2 × DDR3-1333,,32.0,,,,,,,,1/1/4/5,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,2.93,1.024,,22×,0.65–1.40 V,95.0,70.0,BX80605X3470 BV80605001905AJ,,39.0,2 × DDR3-1333,,32.0,,,,,,,,2/2/4/5,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,3.07,1.024,,23×,0.65–1.40 V,95.0,70.0,BX80605X3480 BV80605002505AH,,39.0,2 × DDR3-1333,,32.0,,,,,,,,2/2/4/5,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,2.2608191223688907,9.609493111182314,,"Quad Core, low voltage","Quad Core, low voltage",66.03544956493715,104.0,"Quad Core, low voltage",,71.0,"Quad Core, low voltage",,32.0,,,,,,,,"Quad Core, low voltage",14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,1.87,1.024,,14×,0.65–1.40 V,45.0,70.0,BX80605L3426 BV80605004737AA,,39.0,2 × DDR3-1333,,32.0,,,,,,,,2/2/9/10,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,2.2608191223688907,9.609493111182314,,Dual Core,Dual Core,66.03544956493715,27.0,Dual Core,,44.0,Dual Core,,32.0,,,,,,,,Dual Core,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,2.4,0.512,,18×,0.8–1.225 V,130.0,74.0,AT80601002868AA,,0.0,3 × DDR3-1066,,32.0,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,2.53,0.512,,19×,0.8–1.225 V,130.0,74.0,AT80601002865AA,,0.0,3 × DDR3-1066,,32.0,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,2.67,1.024,,20×,0.8–1.375 V,130.0,74.0,AT80601000741AB,,0.0,3 × DDR3-1066,,32.0,,,,,,,,1/1/1/2,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,2.8,1.024,,21×,0.8–1.375 V,130.0,74.0,AT80601000897AB,,0.0,3 × DDR3-1066,,32.0,,,,,,,,1/1/1/2,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,2.93,1.024,,22×,0.8–1.375 V,130.0,74.0,AT80601000921AB,,0.0,3 × DDR3-1066,,32.0,,,,,,,,1/1/1/2,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,3.07,1.024,,23×,0.8–1.375 V,130.0,74.0,AT80601002112AB,,0.0,3 × DDR3-1066,,32.0,,,,,,,,1/1/1/2,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,3.2,1.024,,24×,0.8–1.225 V,130.0,74.0,AT80601002727AB,,0.0,3 × DDR3-1066,,32.0,,,,,,,,1/1/1/2,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,3.2,1.024,,24×,0.8–1.375 V,130.0,74.0,AT80601000918AB,,2.0,3 × DDR3-1333,,32.0,,,,,,,,1/1/1/2,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,3.33,1.024,,25×,0.8–1.375 V,130.0,74.0,AT80601002274AB,,2.0,3 × DDR3-1333,,32.0,,,,,,,,1/1/1/2,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,2.2608191223688907,9.609493111182314,,"Single Core, low voltage","Single Core, low voltage",66.03544956493715,108.0,"Single Core, low voltage",,74.0,"Single Core, low voltage",,32.0,,,,,,,,"Single Core, low voltage",14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,1.73,0.256,,13×,0.75–1.35 V,23.0,74.0,AT80612002946AA,,39.0,2× DDR3-800,,32.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,2.2608191223688907,9.609493111182314,,"Dual Core, low voltage","Dual Core, low voltage",66.03544956493715,29.0,"Dual Core, low voltage",,46.0,"Dual Core, low voltage",,32.0,,,,,,,,"Dual Core, low voltage",14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,1.73,0.512,,13×,0.75–1.35 V,35.0,74.0,AT80612002931AB,,39.0,2× DDR3-800,,32.0,,,,,,,,1866 MHz,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,2.13,1.024,,16×,0.75–1.35 V,65.0,74.0,AT80612003090AA,,39.0,3 × DDR3-1066,,32.0,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,2.2608191223688907,9.609493111182314,,"Dual Core, low voltage","Dual Core, low voltage",66.03544956493715,29.0,"Dual Core, low voltage","Dual Core, low voltage",46.0,"Dual Core, low voltage",,32.0,,,,,,,,"Dual Core, low voltage",14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,2.2608191223688907,0.512,,15×,0.65–1.40 V,30.0,70.0,CM80616005496AB,,39.0,2 × DDR3-1066,,32.0,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,2.27,0.512,,17×,0.65–1.40 V,30.0,70.0,CM80616005010AA BX80616L3406,,39.0,2 × DDR3-1066,,32.0,,,,,,,,2.53 GHz,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,2.2608191223688907,9.609493111182314,,Six Core,Six Core,66.03544956493715,111.0,Six Core,,75.0,Six Core,,32.0,,,,,,,,Six Core,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,3.2,1.536,,24×,0.8–1.375 V,130.0,74.0,AT80613005490AC BX80613W3670,,0.0,3 × DDR3-1066,,32.0,,,,,,,,1/1/1/1/2/2,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,3.33,1.536,,25×,0.8–1.375 V,130.0,74.0,AT80613003543AF BX80613W3680,,2.0,3 × DDR3-1333,,32.0,,,,,,,,1/1/1/1/2/2,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,3.47,1.536,,26×,0.8–1.375 V,130.0,74.0,AT80613005931AB BX80613W3690,,2.0,3 × DDR3-1333,,32.0,,,,,,,,1/1/1/1/2/2,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,1.87,0.512,,14×,0.75–1.35 V,80.0,74.0,AT80602000804AA,,8.0,3 × DDR3-800,,32.0,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,2.2608191223688907,0.512,,15×,0.75–1.35 V,80.0,74.0,AT80602003636AA,,8.0,3 × DDR3-800,,32.0,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,2.2608191223688907,0.512,,15×,0.75–1.35 V,38.0,74.0,AT80602002697AC,,9.0,3 × DDR3-1066,,32.0,,,,,,,,2/3,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,2.2608191223688907,1.024,,15×,0.75–1.35 V,80.0,74.0,AT80602000801AA,,8.0,3 × DDR3-800,,32.0,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,2.13,1.024,,16×,0.75–1.35 V,80.0,74.0,AT80602000798AA,,8.0,3 × DDR3-800,,32.0,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,2.27,1.024,,17×,0.75–1.35 V,80.0,74.0,AT80602000795AA,,8.0,3 × DDR3-800,,32.0,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,2.27,1.024,,17×,0.75–1.35 V,80.0,74.0,AT80602002091AA,,9.0,3 × DDR3-1066,,32.0,,,,,,,,1/1/1/2,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,2.4,1.024,,18×,0.75–1.35 V,80.0,74.0,AT80602000792AA,,9.0,3 × DDR3-1066,,32.0,,,,,,,,1/1/1/2,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,2.53,1.024,,19×,0.75–1.35 V,80.0,74.0,AT80602000789AA,,9.0,3 × DDR3-1066,,32.0,,,,,,,,1/1/1/2,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,2.67,1.024,,20×,0.75–1.35 V,95.0,74.0,AT80602000771AA,,10.0,3 × DDR3-1333,,32.0,,,,,,,,2/2/3/3,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,2.8,1.024,,21×,0.75–1.35 V,95.0,74.0,AT80602000768AA,,10.0,3 × DDR3-1333,,32.0,,,,,,,,2/2/3/3,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,2.93,1.024,,22×,0.75–1.35 V,95.0,74.0,AT80602000765AA,,10.0,3 × DDR3-1333,,32.0,,,,,,,,2/2/3/3,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,3.2,1.024,,24×,0.75–1.35 V,130.0,74.0,AT80602000756AD,,10.0,3 × DDR3-1333,,32.0,,,,,,,,1/1/1/2,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,3.33,1.024,,25×,0.75–1.35 V,130.0,74.0,AT80602000753AA,,10.0,3 × DDR3-1333,,32.0,,,,,,,,1/1/1/2,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,2.13,1.024,,16×,0.75–1.35 V,60.0,74.0,AT80602002712AA,,8.0,3 × DDR3-800,,32.0,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,2.13,1.024,,16×,0.75–1.35 V,60.0,74.0,AT80602002265AB,,9.0,3 × DDR3-1066,,32.0,,,,,,,,1/1/1/2,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,2.27,1.024,,17×,0.75–1.35 V,60.0,74.0,AT80602000810AA,,9.0,3 × DDR3-1066,,32.0,,,,,,,,1/1/1/2,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,2.4,1.024,,18×,0.75–1.35 V,60.0,74.0,AT80602002927AB,,9.0,3 × DDR3-1066,,32.0,,,,,,,,1/1/1/2,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,2.27,0.512,,17×,0.75–1.35 V,65.0,74.0,AT80612003861AB,,1.0,3 × DDR3-1333,,32.0,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,2.2608191223688907,1.024,,15×,0.75–1.35 V,85.0,74.0,AT80612004740AA,,0.0,3 × DDR3-1066,,32.0,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,2.53,1.024,,19×,0.75–1.35 V,85.0,74.0,AT80612005712AB,,1.0,3 × DDR3-1333,,32.0,,,,,,,,2933 MHz,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,1.73,1.024,,13×,0.75–1.35 V,48.0,74.0,AT80612002928AC,,0.0,3 × DDR3-1066,,32.0,,,,,,,,2133 MHz,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,2.13,1.024,,16×,0.75–1.35 V,60.0,74.0,AT80612003858AA,,0.0,3 × DDR3-1066,,32.0,,,,,,,,2533 MHz,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,4.4,0.512,,33×,0.75–1.35 V,130.0,74.0,AT80614007314AA,,10.0,3 × DDR3-1333,,32.0,,,,,,,,0/1,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,1.6,1.024,,12×,0.75–1.35 V,80.0,74.0,AT80614006954AA BX80614E5603,,8.0,3 × DDR3-1066,,32.0,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,2.13,1.024,,16×,0.75–1.35 V,80.0,74.0,AT80614007290AE BX80614E5606,,8.0,3 × DDR3-1066,,32.0,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,2.27,1.024,,17×,0.75–1.35 V,80.0,74.0,AT80614006789AA BX80614E5607,,8.0,3 × DDR3-1066,,32.0,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,2.4,1.024,,18×,0.75–1.35 V,80.0,74.0,AT80614005073AB BX80614E5620,,9.0,3 × DDR3-1066,,32.0,,,,,,,,1/1/2/2,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,2.53,1.024,,19×,0.75–1.35 V,80.0,74.0,AT80614005463AA BX80614E5630,,9.0,3 × DDR3-1066,,32.0,,,,,,,,1/1/2/2,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,2.67,1.024,,20×,0.75–1.35 V,80.0,74.0,AT80614005466AA BX80614E5640,,9.0,3 × DDR3-1066,,32.0,,,,,,,,1/1/2/2,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,2.93,1.024,,22×,0.75–1.35 V,130.0,74.0,AT80614006780AA,,9.0,3 × DDR3-1066,,32.0,,,,,,,,1/1/2/2,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,3.07,1.024,,23×,0.75–1.35 V,95.0,74.0,AT80614005154AB,,10.0,3 × DDR3-1333,,32.0,,,,,,,,2/2/3/3,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,3.2,1.024,,24×,0.75–1.35 V,95.0,74.0,AT80614005922AA,,10.0,3 × DDR3-1333,,32.0,,,,,,,,2/2/3/3,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,3.47,1.024,,26×,0.75–1.35 V,130.0,74.0,AT80614005145AB,,10.0,3 × DDR3-1333,,32.0,,,,,,,,1/1/2/2,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,3.6,1.024,,27×,0.75–1.35 V,130.0,74.0,AT80614005919AB,,10.0,3 × DDR3-1333,,32.0,,,,,,,,1/1/2/2,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,2.2608191223688907,9.609493111182314,,"Quad Core, low power","Quad Core, low power",66.03544956493715,102.0,"Quad Core, low power",,69.0,"Quad Core, low power",,32.0,,,,,,,,"Quad Core, low power",14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,1.87,1.024,,14×,0.75–1.35 V,40.0,74.0,AT80614005940AA,,8.0,3 × DDR3-1066,,32.0,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,1.87,1.024,,14×,0.75–1.35 V,40.0,74.0,AT80614005079AB,,9.0,3 × DDR3-1066,,32.0,,,,,,,,1/1/2/3,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,2.13,1.024,,16×,0.75–1.35 V,40.0,74.0,AT80614005484AA,,9.0,3 × DDR3-1066,,32.0,,,,,,,,1/1/2/2,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,2.4,1.536,,18×,0.75–1.35 V,80.0,74.0,AT80614003597AC,,9.0,3 × DDR3-1333,,32.0,,,,,,,,1/1/1/1/2/2,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,2.53,1.536,,19×,0.75–1.35 V,80.0,74.0,AT80614006783AB BX80614E5649,,9.0,3 × DDR3-1333,,32.0,,,,,,,,1/1/2/2/3/3,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,2.67,1.536,,20×,0.75–1.35 V,95.0,74.0,AT80614004320AD BX80614X5650,,10.0,3 × DDR3-1333,,32.0,,,,,,,,2/2/2/2/3/3,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,2.8,1.536,,21×,0.75–1.35 V,95.0,74.0,AT80614005127AA BX80614X5660,,10.0,3 × DDR3-1333,,32.0,,,,,,,,2/2/2/2/3/3,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,2.93,1.536,,22×,0.75–1.35 V,95.0,74.0,AT80614005130AA BX80614X5670,,10.0,3 × DDR3-1333,,32.0,,,,,,,,2/2/2/2/3/3,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,3.07,1.536,,23×,0.75–1.35 V,95.0,74.0,AT80614006696AA BX80614X5675,,10.0,3 × DDR3-1333,,32.0,,,,,,,,2/2/2/2/3/3,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,3.2,1.536,,24×,0.75–1.35 V,115.0,74.0,AT80614006924AA,,10.0,3 × DDR3-1066,,32.0,,,,,,,,1/1/1/1/2/2,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,3.33,1.536,,25×,0.75–1.35 V,130.0,74.0,AT80614005124AA BX80614X5680,,10.0,3 × DDR3-1333,,32.0,,,,,,,,1/1/1/1/2/2,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,3.47,1.536,,26×,0.75–1.35 V,130.0,74.0,AT80614005913AB BX80614X5690,,10.0,3 × DDR3-1333,,32.0,,,,,,,,1/1/1/1/2/2,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,2.2608191223688907,9.609493111182314,,"Six Core, low power","Six Core, low power",66.03544956493715,112.0,"Six Core, low power",,76.0,"Six Core, low power",,32.0,,,,,,,,"Six Core, low power",14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,2.2608191223688907,1.536,,15×,0.75–1.35 V,60.0,74.0,AT80614003591AB,,9.0,3 × DDR3-1333,,32.0,,,,,,,,1/1/2/2/3/3,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
